GhoCode,YearCode,YearDisplay,RegionCode,RegionDisplay,CountryCode,country,SexCode,SexDisplay,DisplayValue,Numeric
WHOSIS_000001,2013,2013,AMR,Americas,DMA,Dominica,BTSX,Both sexes,75,74.82867
WHOSIS_000001,2013,2013,AMR,Americas,DOM,Dominican Republic,BTSX,Both sexes,74,73.69259
WHOSIS_000001,2013,2013,AFR,Africa,COD,DR Congo,BTSX,Both sexes,52,52.17266
WHOSIS_000001,2013,2013,AMR,Americas,ECU,Ecuador,BTSX,Both sexes,76,75.74088
WHOSIS_000001,2013,2013,EMR,Eastern Mediterranean,EGY,Egypt,BTSX,Both sexes,71,71.34473
WHOSIS_000001,2013,2013,AMR,Americas,SLV,El Salvador,BTSX,Both sexes,73,72.56444
WHOSIS_000001,2013,2013,AFR,Africa,GNQ,Equatorial Guinea,BTSX,Both sexes,56,55.93278
WHOSIS_000001,2013,2013,AFR,Africa,ERI,Eritrea,BTSX,Both sexes,64,63.85941
WHOSIS_000001,2013,2013,EUR,Europe,EST,Estonia,BTSX,Both sexes,77,76.89989
WHOSIS_000001,2013,2013,AFR,Africa,ETH,Ethiopia,BTSX,Both sexes,65,64.67994
WHOSIS_000001,2013,2013,WPR,Western Pacific,FJI,Fiji,BTSX,Both sexes,70,69.56511
WHOSIS_000001,2013,2013,EUR,Europe,FIN,Finland,BTSX,Both sexes,81,80.78438
WHOSIS_000001,2013,2013,EUR,Europe,FRA,France,BTSX,Both sexes,82,82.01347
WHOSIS_000001,2013,2013,AFR,Africa,GAB,Gabon,BTSX,Both sexes,64,63.65686
WHOSIS_000001,2013,2013,AFR,Africa,GMB,Gambia,BTSX,Both sexes,61,61.22207
WHOSIS_000001,2013,2013,EUR,Europe,GEO,Georgia,BTSX,Both sexes,74,74.43595
WHOSIS_000001,2013,2013,EUR,Europe,DEU,Germany,BTSX,Both sexes,81,80.94221
WHOSIS_000001,2013,2013,AFR,Africa,GHA,Ghana,BTSX,Both sexes,63,62.80416
